video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=G8QWD3qDm8A&pp=ygUOZ2VudHJpZmljYXRpb27SBwkJhwoBhyohjO8%3D,/@stripping_architecture,Stripping Architecture,"In The Shadows Of Gentrification | Displacement, Inequality & Urban Change",388,2 months,"In The Shadows Of Gentrification | Displacement, Inequality & Urban Change #gentrification #housingcrisis #urbanchange Who ...",2026-01-21 23:46:26.898071
/shorts/z8ZzUJxiByE,/@australianpropertyacademy,Australian Property Academy,How To Identify Suburbs Going Through Gentrification?,402,2 years,property #control #podcastforpropertyinvestors #lifestyle #propertyinvestment #propertyinvestors #investors #realestate #shorts ...,2026-01-21 23:46:26.901460
/watch?v=uTAKcQYs5IE&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@BRICTV,BRIC TV,Mrs. Loretta McDonald Takes Us Through Brooklyn for a Look at Gentrification's Effects | BK Stories,34K,8 years,"""The neighborhood is absolutely not like it used to be."" Imagine, store owners and businesses you've known for decade slowly ...",2026-01-21 23:46:26.902709
/watch?v=L9xP9AcE0Dk&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@shnnonkim,Shannon Kim,The Reality of the Art Girlfriend Finance Boyfriend Trope: Gentrification & Its Correlation to Art,119K,4 months,Hello ^_^ Finally will be adding a bibliography to my videos… thank you for being patient with me! I also have a Goodreads if you ...,2026-01-21 23:46:26.903839
/watch?v=kbkLi2kC5Ig&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@TheDailyShow,The Daily Show,Roy Wood Jr. Explores Gentrification in Brooklyn | The Daily Show,774K,3 years,Roy Wood Jr. follows a trail of succulents and Wes Anderson DVDs deep into gentrifying Brooklyn to explore how the increasing ...,2026-01-21 23:46:26.905142
/watch?v=PyFFQyJG8K0&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@cgtnamerica,CGTN America,Gentrification in Mexico City: 2 POVs #talklatinamerica,996,4 months,"Mexico City is facing growing tensions over gentrification, as an influx of foreign nationals—mainly Americans—drives up rents ...",2026-01-21 23:46:26.908622
/shorts/oKkniP4HXbY,/@SFSCharles,Charles Lewis -  Buying & Selling Homes in Austin,Austin Gentrification Plan #austin #realestate #austintexas #austinrealtor #gentrification #realtor,2.6K,2 years,Watch the full video: How Austin's Gentrification Plan Will Transform Real Estate Investing.,2026-01-21 23:46:26.909939
/watch?v=AoWru0OFi7Q&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@11Alive,11Alive,"Atlanta hit hard by gentrification, report shows",2.1K,8 months,The city is ranked among the hardest-hit in the country when it comes to gentrification and the displacement of Black residents.,2026-01-21 23:46:26.911249
/watch?v=tYM3AUDTqWc&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@stripping_architecture,Stripping Architecture,"Gentrification is Class War | The ""Urban Renewal"" Lie",489,1 month,"They tell us it's ""Urban Renewal."" They call it ""Regeneration."" They say it's ""Progress."" But if you look closely, these words are just ...",2026-01-21 23:46:26.912473
/shorts/hMhEA9bcfpw,/@stripping_architecture,Stripping Architecture,Gentrification Priming: How Real Estate Marketing Rebrands Cities for Profit,710,4 hours,Explore how gentrification priming works and the marketing tactics real estate developers use to maximize profit. This video ...,2026-01-21 23:46:26.916758
/watch?v=PKRwpGiw5QA&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@PIX11News,PIX11 News,Gentrification: How it is impacting the Bronx,73K,1 year,"Gentrification has been met with mixed reactions, with some fearing the rising costs of housing may force them out.",2026-01-21 23:46:26.918058
/shorts/-xcjhsqR9sw,/@unacademyupscprep,Let's Crack UPSC CSE,What is Gentrification? | Indian Society | UPSC CSE,29K,5 months,1. Offer Ends on 31st July! ₹19999/- + up to 12 Months FREE: ...,2026-01-21 23:46:26.921469
/shorts/6NxYUsMHBoM,/@padhye2,Rohan Padhye,Gentrification explained,2.1K,3 years,I explain gentrification in 30 seconds #standupcomedy #standup #jokes #funny #funnyvideo #shorts #gentrification.,2026-01-21 23:46:26.922709
/watch?v=L8o-JZQuQ84&pp=ygUId2V0bGFuZHM%3D,/@VoiceOfPlanet,The Planet Voice,Why Are Wetlands Important | Wetland | The Planet Voice,34K,1 year,"Welcome to our exploration of one of nature's most vital ecosystems: wetlands. In this video, we delve into why wetlands are ...",2026-01-21 23:46:37.051898
/watch?v=xIJb9BRsLvg&pp=ygUId2V0bGFuZHM%3D,/@NGScience,Next Generation Science,Interactions in Ecosystems – Wetlands,202K,4 years,ngscience.com #ecosystems #wetlandseasonspark https://ngscience.com Interactions within the populations and communities in ...,2026-01-21 23:46:37.053076
/watch?v=GOz1mD3LOiU&pp=ygUId2V0bGFuZHM%3D,/@NGScience,Next Generation Science,"Wetlands: Marshes, Swamps and Everglades",24K,1 year,"wetlands #swamps #everglades #ngscience @NGScience https://ngscience.com Wetlands are essential to the planet's health, ...",2026-01-21 23:46:37.054103
